75;62;24/09/2021;23/09/2024;073/5921/RSJ;002/FOM-UPH/PKS/III/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
76;63;26/11/2018;25/11/2021;119/2307/RSJ;0098/Q/P.Y.SMI/II/2019;2;0;0;0;NULL;NULL;NULL;NULL;y
77;64;26/09/2019;25/09/2022;119/20494/RSJ;168/AKPER/B-MOU/IX/2018;2;0;0;3;NULL;NULL;NULL;NULL;y
78;65;15/02/2012;14/02/2015;073/4623/RSJ;700/FIKES-UMTAS/III/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
79;66;07/10/2021;06/10/2024;073/11279/RSJ;HK.05.01/1.6/2460/2018;2;0;0;2;NULL;NULL;NULL;NULL;y
23;67;17/09/2019;16/09/2022;119/10058/RSJ;"HK.03.01/X.4.2.1/14120/2020
dan 677/UN6.C/PKS/2020";1;0;0;1;NULL;NULL;NULL;NULL;y
30;67;20/09/2021;19/09/2024;…./…./RSJ;…../…../…..;3;9;0;2;NULL;NULL;NULL;NULL;y
42;67;20/09/2021;19/09/2024;119/17531/RSJ;1138/K/STIKES.DK/IX/2018;0;9;0;1;NULL;NULL;NULL;NULL;y
20;68;01/07/2019;30/06/2022;119/1458/RSJ;"551A/UKKW/FK/D/V/2019
Dan
173/072-26/2019";4;0;0;2;NULL;NULL;NULL;NULL;y
24;68;29/10/2015;28/10/2018;…./…./RSJ;…../…../…..;1;0;0;2;NULL;NULL;NULL;NULL;y
22;70;29/05/2019;28/05/2022;07313324/RSJ/2015;005/KS-FK UNJANI/X/2015;1;0;0;2;NULL;NULL;NULL;NULL;y
21;71;01/08/2019;31/07/2022;119/15675/RSJ;"445/1318/UHP-RS Ihsan
Dan
108/Dek/FK/IX/2019";1;0;0;2;NULL;NULL;NULL;NULL;y
28;71;02/11/2020;02/11/2023;075/0409/RSJ/I/2020;016/POLTEKKES/I/2020;3;0;0;2;NULL;NULL;NULL;NULL;y
29;71;10/03/2014;09/03/2017;…./…./RSJ;…../…../…..;3;0;0;2;NULL;NULL;NULL;NULL;y
80;72;18/11/2020;18/11/2023;073/10034/RSJ;B/13/PL41/HL.04.03/2019;3;0;0;1;NULL;NULL;NULL;NULL;y
81;73;20/02/2019;19/02/2022;…./…./RSJ;…../…../…..;2;0;0;2;NULL;NULL;NULL;NULL;y
82;74;11/03/2019;10/03/2022;073/11145/RSJ;PKS-  /Ffa-UNJANI/VIII/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
83;75;15/10/2018;14/10/2021;070/7441/RSJ;1932/MOU/K/Ka./STIKIM/VI/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
26;76;01/07/2020;01/07/2023;…./…./RSJ;…../…../…..;1;0;0;1;NULL;NULL;NULL;NULL;y
27;76;06/12/2021;05/12/2024;119/209634/RSJ;HK.05.01/1.6/5004/2018;2;0;0;1;NULL;NULL;NULL;NULL;y
84;77;28/03/2019;27/03/2022;073/16246/RSJ/IX/2019;04/14/UBK/IX/2019;2;0;0;2;NULL;NULL;NULL;NULL;y
85;78;21/01/2019;20/01/2022;073/21320/RSJ/XII/2019;HK.03.01/1.6/0012/2019;2;0;0;1;NULL;NULL;NULL;NULL;y
86;79;12/11/2020;12/11/2023;073/11662/RSJ;888/PL42/KS/2020;2;0;0;1;NULL;NULL;NULL;NULL;y
87;80;04/09/2014;03/09/2017;073/18973/RSJ;247/PKS/UKSW/XI/2020;2;0;0;2;NULL;NULL;NULL;NULL;y
25;82;05/10/2021;04/10/2024;…./…./RSJ;…../…../…..;1;0;0;2;NULL;NULL;NULL;NULL;y
88;81;01/01/2014;31/12/2016;073/16336/RSJ;037/PKS/DN/FKUKMXI/2020;2;0;0;1;NULL;NULL;NULL;NULL;y
89;82;16/04/2019;15/04/2022;073/11279/RSJ;HK.05.01/1.6/2460/2018;2;0;0;1;NULL;NULL;NULL;NULL;y
90;85;22/11/2021;21/11/2024;073/11279/RSJ;HK.05.01/1.6/2460/2018;3;0;0;2;NULL;NULL;NULL;NULL;y
